,Tissue,cell_ontology_class,age,dataset,cell_id,seurat_clusters
15_E6.5_8.5_Chan,xendo,parietal endoderm ,E6.5,E6.5_8.5_Chan,15_E6.5_8.5_Chan,4
16_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E7.0,E6.5_8.5_Chan,16_E6.5_8.5_Chan,17
17_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,17_E6.5_8.5_Chan,6
18_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.0,E6.5_8.5_Chan,18_E6.5_8.5_Chan,6
19_E6.5_8.5_Chan,xmeso,primitive streak early ,E7.0,E6.5_8.5_Chan,19_E6.5_8.5_Chan,10
20_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,20_E6.5_8.5_Chan,6
21_E6.5_8.5_Chan,xmeso,primitive streak early ,E7.0,E6.5_8.5_Chan,21_E6.5_8.5_Chan,10
22_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,22_E6.5_8.5_Chan,6
23_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,23_E6.5_8.5_Chan,6
24_E6.5_8.5_Chan,xmeso,streak pre-specified/anterior,E7.0,E6.5_8.5_Chan,24_E6.5_8.5_Chan,6
25_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,25_E6.5_8.5_Chan,6
26_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,26_E6.5_8.5_Chan,6
27_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,27_E6.5_8.5_Chan,6
28_E6.5_8.5_Chan,xmeso,primitive streak early ,E7.0,E6.5_8.5_Chan,28_E6.5_8.5_Chan,10
29_E6.5_8.5_Chan,xendo,visceral endoderm early,E7.0,E6.5_8.5_Chan,29_E6.5_8.5_Chan,16
30_E6.5_8.5_Chan,xmeso,allantois ,E7.0,E6.5_8.5_Chan,30_E6.5_8.5_Chan,12
31_E6.5_8.5_Chan,xendo,primitive and definitive endoderm,E7.0,E6.5_8.5_Chan,31_E6.5_8.5_Chan,16
32_E6.5_8.5_Chan,xmeso,primitive streak early ,E7.0,E6.5_8.5_Chan,32_E6.5_8.5_Chan,10
33_E6.5_8.5_Chan,xmeso,haematopoeitic/endothelial progenitor,E7.0,E6.5_8.5_Chan,33_E6.5_8.5_Chan,12
34_E6.5_8.5_Chan,xmeso,streak pre-specified/anterior,E7.0,E6.5_8.5_Chan,34_E6.5_8.5_Chan,10
35_E6.5_8.5_Chan,xmeso,streak pre-specified/anterior,E7.0,E6.5_8.5_Chan,35_E6.5_8.5_Chan,6
36_E6.5_8.5_Chan,xmeso,streak pre-specified/anterior,E7.0,E6.5_8.5_Chan,36_E6.5_8.5_Chan,6
37_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E7.0,E6.5_8.5_Chan,37_E6.5_8.5_Chan,17
38_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,38_E6.5_8.5_Chan,6
39_E6.5_8.5_Chan,xendo,primitive and definitive endoderm,E7.0,E6.5_8.5_Chan,39_E6.5_8.5_Chan,16
40_E6.5_8.5_Chan,xecto,ectoderm early 1 ,E7.0,E6.5_8.5_Chan,40_E6.5_8.5_Chan,6
41_E6.5_8.5_Chan,pgcs,primordial germ cells (PGCs) ,E7.0,E6.5_8.5_Chan,41_E6.5_8.5_Chan,10
42_E6.5_8.5_Chan,xendo,parietal endoderm ,E7.0,E6.5_8.5_Chan,42_E6.5_8.5_Chan,4
43_E6.5_8.5_Chan,xmeso,haematopoeitic/endothelial progenitor,E7.0,E6.5_8.5_Chan,43_E6.5_8.5_Chan,12
44_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.5,E6.5_8.5_Chan,44_E6.5_8.5_Chan,6
45_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E7.5,E6.5_8.5_Chan,45_E6.5_8.5_Chan,17
46_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E7.5,E6.5_8.5_Chan,46_E6.5_8.5_Chan,17
47_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.5,E6.5_8.5_Chan,47_E6.5_8.5_Chan,6
48_E6.5_8.5_Chan,xmeso,primitive streak late ,E7.5,E6.5_8.5_Chan,48_E6.5_8.5_Chan,10
49_E6.5_8.5_Chan,xendo,visceral endoderm early,E7.5,E6.5_8.5_Chan,49_E6.5_8.5_Chan,16
50_E6.5_8.5_Chan,xmeso,allantois ,E7.5,E6.5_8.5_Chan,50_E6.5_8.5_Chan,19
51_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.5,E6.5_8.5_Chan,51_E6.5_8.5_Chan,6
52_E6.5_8.5_Chan,xmeso,NMPs early ,E7.5,E6.5_8.5_Chan,52_E6.5_8.5_Chan,10
53_E6.5_8.5_Chan,xmeso,primitive streak late ,E7.5,E6.5_8.5_Chan,53_E6.5_8.5_Chan,10
54_E6.5_8.5_Chan,xmeso,primitive streak late ,E7.5,E6.5_8.5_Chan,54_E6.5_8.5_Chan,10
55_E6.5_8.5_Chan,xmeso,primitive blood progenitor,E7.5,E6.5_8.5_Chan,55_E6.5_8.5_Chan,12
56_E6.5_8.5_Chan,xmeso,allantois ,E7.5,E6.5_8.5_Chan,56_E6.5_8.5_Chan,12
57_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.5,E6.5_8.5_Chan,57_E6.5_8.5_Chan,10
58_E6.5_8.5_Chan,xmeso,primitive streak early ,E7.5,E6.5_8.5_Chan,58_E6.5_8.5_Chan,10
59_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.5,E6.5_8.5_Chan,59_E6.5_8.5_Chan,6
60_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.5,E6.5_8.5_Chan,60_E6.5_8.5_Chan,6
61_E6.5_8.5_Chan,xendo,gut ,E7.5,E6.5_8.5_Chan,61_E6.5_8.5_Chan,15
62_E6.5_8.5_Chan,xmeso,haematopoeitic/endothelial progenitor,E7.5,E6.5_8.5_Chan,62_E6.5_8.5_Chan,12
63_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.5,E6.5_8.5_Chan,63_E6.5_8.5_Chan,6
64_E6.5_8.5_Chan,xecto,ectoderm early 2,E7.5,E6.5_8.5_Chan,64_E6.5_8.5_Chan,6
65_E6.5_8.5_Chan,xmeso,primitive streak late ,E7.5,E6.5_8.5_Chan,65_E6.5_8.5_Chan,10
66_E6.5_8.5_Chan,xmeso,splanchnic-lateral/anterior-paraxial mesoderm,E7.5,E6.5_8.5_Chan,66_E6.5_8.5_Chan,10
67_E6.5_8.5_Chan,xendo,parietal endoderm ,E7.5,E6.5_8.5_Chan,67_E6.5_8.5_Chan,4
68_E6.5_8.5_Chan,xendo,primitive and definitive endoderm,E7.5,E6.5_8.5_Chan,68_E6.5_8.5_Chan,16
69_E6.5_8.5_Chan,xmeso,allantois ,E7.5,E6.5_8.5_Chan,69_E6.5_8.5_Chan,19
70_E6.5_8.5_Chan,xmeso,node ,E7.5,E6.5_8.5_Chan,70_E6.5_8.5_Chan,15
71_E6.5_8.5_Chan,xecto,differentiated trophoblasts,E7.5,E6.5_8.5_Chan,71_E6.5_8.5_Chan,17
72_E6.5_8.5_Chan,xmeso,allantois ,E7.5,E6.5_8.5_Chan,72_E6.5_8.5_Chan,12
73_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 2,E7.5,E6.5_8.5_Chan,73_E6.5_8.5_Chan,17
74_E6.5_8.5_Chan,xmeso,haematopoeitic/endothelial progenitor,E7.5,E6.5_8.5_Chan,74_E6.5_8.5_Chan,12
75_E6.5_8.5_Chan,xmeso,streak pre-specified/anterior,E7.5,E6.5_8.5_Chan,75_E6.5_8.5_Chan,10
76_E6.5_8.5_Chan,xendo,visceral endoderm early,E7.5,E6.5_8.5_Chan,76_E6.5_8.5_Chan,16
77_E6.5_8.5_Chan,pgcs,primordial germ cells (PGCs) ,E7.5,E6.5_8.5_Chan,77_E6.5_8.5_Chan,10
78_E6.5_8.5_Chan,xecto,future spinal cord ,E8.0,E6.5_8.5_Chan,78_E6.5_8.5_Chan,2
79_E6.5_8.5_Chan,xecto,preplacodal ectoderm ,E8.0,E6.5_8.5_Chan,79_E6.5_8.5_Chan,15
80_E6.5_8.5_Chan,xmeso,primitive blood early ,E8.0,E6.5_8.5_Chan,80_E6.5_8.5_Chan,14
81_E6.5_8.5_Chan,xecto,neural ectoderm anterior,E8.0,E6.5_8.5_Chan,81_E6.5_8.5_Chan,2
82_E6.5_8.5_Chan,xecto,extraembryonic ectoderm 1,E8.0,E6.5_8.5_Chan,82_E6.5_8.5_Chan,17
83_E6.5_8.5_Chan,xmeso,posterior lateral plate mesoderm ,E8.0,E6.5_8.5_Chan,83_E6.5_8.5_Chan,11
84_E6.5_8.5_Chan,xmeso,NMPs early ,E8.0,E6.5_8.5_Chan,84_E6.5_8.5_Chan,2
85_E6.5_8.5_Chan,xmeso,secondary heart field/splanchnic lateral plate,E8.0,E6.5_8.5_Chan,85_E6.5_8.5_Chan,11
86_E6.5_8.5_Chan,xmeso,presomitic mesoderm ,E8.0,E6.5_8.5_Chan,86_E6.5_8.5_Chan,11
87_E6.5_8.5_Chan,xecto,fore/midbrain ,E8.0,E6.5_8.5_Chan,87_E6.5_8.5_Chan,2
88_E6.5_8.5_Chan,xmeso,splanchnic-lateral/anterior-paraxial mesoderm,E8.0,E6.5_8.5_Chan,88_E6.5_8.5_Chan,11
89_E6.5_8.5_Chan,xmeso,splanchnic-lateral/anterior-paraxial mesoderm,E8.0,E6.5_8.5_Chan,89_E6.5_8.5_Chan,11
90_E6.5_8.5_Chan,xendo,visceral endoderm early,E8.0,E6.5_8.5_Chan,90_E6.5_8.5_Chan,16
91_E6.5_8.5_Chan,xmeso,allantois ,E8.0,E6.5_8.5_Chan,91_E6.5_8.5_Chan,19
92_E6.5_8.5_Chan,xecto,neural ectoderm anterior,E8.0,E6.5_8.5_Chan,92_E6.5_8.5_Chan,2
93_E6.5_8.5_Chan,xmeso,primitive heart tube ,E8.0,E6.5_8.5_Chan,93_E6.5_8.5_Chan,19
94_E6.5_8.5_Chan,xmeso,amnion mesoderm early,E8.0,E6.5_8.5_Chan,94_E6.5_8.5_Chan,19
95_E6.5_8.5_Chan,xecto,surface ectoderm,E8.0,E6.5_8.5_Chan,95_E6.5_8.5_Chan,15
96_E6.5_8.5_Chan,xmeso,haematopoeitic/endothelial progenitor,E8.0,E6.5_8.5_Chan,96_E6.5_8.5_Chan,12
97_E6.5_8.5_Chan,xecto,neural crest ,E8.0,E6.5_8.5_Chan,97_E6.5_8.5_Chan,2
98_E6.5_8.5_Chan,xmeso,posterior lateral plate mesoderm ,E8.0,E6.5_8.5_Chan,98_E6.5_8.5_Chan,11
99_E6.5_8.5_Chan,xmeso,primitive blood early ,E8.0,E6.5_8.5_Chan,99_E6.5_8.5_Chan,14
100_E6.5_8.5_Chan,xmeso,somites ,E8.0,E6.5_8.5_Chan,100_E6.5_8.5_Chan,11
101_E6.5_8.5_Chan,xmeso,primitive blood early ,E8.0,E6.5_8.5_Chan,101_E6.5_8.5_Chan,14
102_E6.5_8.5_Chan,xmeso,NMPs early ,E8.0,E6.5_8.5_Chan,102_E6.5_8.5_Chan,2
103_E6.5_8.5_Chan,xmeso,amnion mesoderm early,E8.0,E6.5_8.5_Chan,103_E6.5_8.5_Chan,19
104_E6.5_8.5_Chan,xmeso,allantois ,E8.0,E6.5_8.5_Chan,104_E6.5_8.5_Chan,19
105_E6.5_8.5_Chan,xmeso,angioblasts ,E8.0,E6.5_8.5_Chan,105_E6.5_8.5_Chan,12
106_E6.5_8.5_Chan,xecto,preplacodal ectoderm ,E8.0,E6.5_8.5_Chan,106_E6.5_8.5_Chan,15
107_E6.5_8.5_Chan,xmeso,posterior lateral plate mesoderm ,E8.0,E6.5_8.5_Chan,107_E6.5_8.5_Chan,11
108_E6.5_8.5_Chan,xendo,visceral endoderm late ,E8.0,E6.5_8.5_Chan,108_E6.5_8.5_Chan,16
109_E6.5_8.5_Chan,xmeso,primitive blood early ,E8.0,E6.5_8.5_Chan,109_E6.5_8.5_Chan,14
110_E6.5_8.5_Chan,xmeso,NMPs late ,E8.0,E6.5_8.5_Chan,110_E6.5_8.5_Chan,2
111_E6.5_8.5_Chan,xmeso,somites ,E8.0,E6.5_8.5_Chan,111_E6.5_8.5_Chan,11
112_E6.5_8.5_Chan,xecto,neural ectoderm anterior,E8.0,E6.5_8.5_Chan,112_E6.5_8.5_Chan,2
113_E6.5_8.5_Chan,xecto,neural ectoderm anterior,E8.0,E6.5_8.5_Chan,113_E6.5_8.5_Chan,2
114_E6.5_8.5_Chan,xendo,gut ,E8.0,E6.5_8.5_Chan,114_E6.5_8.5_Chan,15
115_E6.5_8.5_Chan,xmeso,primitive blood progenitor,E8.0,E6.5_8.5_Chan,115_E6.5_8.5_Chan,14
116_E6.5_8.5_Chan,xecto,differentiated trophoblasts,E8.0,E6.5_8.5_Chan,116_E6.5_8.5_Chan,17
117_E6.5_8.5_Chan,xecto,preplacodal ectoderm ,E8.0,E6.5_8.5_Chan,117_E6.5_8.5_Chan,2
118_E6.5_8.5_Chan,xecto,surface ectoderm,E8.0,E6.5_8.5_Chan,118_E6.5_8.5_Chan,19
119_E6.5_8.5_Chan,xmeso,allantois ,E8.0,E6.5_8.5_Chan,119_E6.5_8.5_Chan,12
120_E6.5_8.5_Chan,xendo,parietal endoderm ,E8.0,E6.5_8.5_Chan,120_E6.5_8.5_Chan,16
121_E6.5_8.5_Chan,xecto,neural ectoderm anterior,E8.0,E6.5_8.5_Chan,121_E6.5_8.5_Chan,2
122_E6.5_8.5_Chan,xmeso,presomitic mesoderm ,E8.0,E6.5_8.5_Chan,122_E6.5_8.5_Chan,2
123_E6.5_8.5_Chan,xmeso,notochord ,E8.0,E6.5_8.5_Chan,123_E6.5_8.5_Chan,15
124_E6.5_8.5_Chan,xmeso,haematopoeitic/endothelial progenitor,E8.0,E6.5_8.5_Chan,124_E6.5_8.5_Chan,12
125_E6.5_8.5_Chan,xecto,fore/midbrain ,E8.5,E6.5_8.5_Chan,125_E6.5_8.5_Chan,2
126_E6.5_8.5_Chan,xecto,future spinal cord ,E8.5,E6.5_8.5_Chan,126_E6.5_8.5_Chan,2
127_E6.5_8.5_Chan,xmeso,primitive blood late,E8.5,E6.5_8.5_Chan,127_E6.5_8.5_Chan,14
128_E6.5_8.5_Chan,xmeso,somites ,E8.5,E6.5_8.5_Chan,128_E6.5_8.5_Chan,11
129_E6.5_8.5_Chan,xmeso,primitive blood late,E8.5,E6.5_8.5_Chan,129_E6.5_8.5_Chan,14
130_E6.5_8.5_Chan,xendo,visceral endoderm late ,E8.5,E6.5_8.5_Chan,130_E6.5_8.5_Chan,16
131_E6.5_8.5_Chan,xecto,preplacodal ectoderm ,E8.5,E6.5_8.5_Chan,131_E6.5_8.5_Chan,15
132_E6.5_8.5_Chan,xecto,fore/midbrain ,E8.5,E6.5_8.5_Chan,132_E6.5_8.5_Chan,2
133_E6.5_8.5_Chan,xecto,neural crest ,E8.5,E6.5_8.5_Chan,133_E6.5_8.5_Chan,11
134_E6.5_8.5_Chan,xecto,similar to neural crest ,E8.5,E6.5_8.5_Chan,134_E6.5_8.5_Chan,11
135_E6.5_8.5_Chan,xmeso,posterior lateral plate mesoderm ,E8.5,E6.5_8.5_Chan,135_E6.5_8.5_Chan,11
136_E6.5_8.5_Chan,xecto,fore/midbrain ,E8.5,E6.5_8.5_Chan,136_E6.5_8.5_Chan,2
137_E6.5_8.5_Chan,xmeso,NMPs late ,E8.5,E6.5_8.5_Chan,137_E6.5_8.5_Chan,2
138_E6.5_8.5_Chan,xmeso,angioblasts ,E8.5,E6.5_8.5_Chan,138_E6.5_8.5_Chan,12
139_E6.5_8.5_Chan,xmeso,presomitic mesoderm ,E8.5,E6.5_8.5_Chan,139_E6.5_8.5_Chan,11
140_E6.5_8.5_Chan,xecto,surface ectoderm,E8.5,E6.5_8.5_Chan,140_E6.5_8.5_Chan,15
141_E6.5_8.5_Chan,xmeso,pharyngeal arch mesoderm ,E8.5,E6.5_8.5_Chan,141_E6.5_8.5_Chan,11
142_E6.5_8.5_Chan,xmeso,secondary heart field/splanchnic lateral plate,E8.5,E6.5_8.5_Chan,142_E6.5_8.5_Chan,11
143_E6.5_8.5_Chan,xendo,gut ,E8.5,E6.5_8.5_Chan,143_E6.5_8.5_Chan,15
144_E6.5_8.5_Chan,xmeso,primitive blood late,E8.5,E6.5_8.5_Chan,144_E6.5_8.5_Chan,14
145_E6.5_8.5_Chan,xmeso,pharyngeal arch mesoderm ,E8.5,E6.5_8.5_Chan,145_E6.5_8.5_Chan,11
146_E6.5_8.5_Chan,xmeso,secondary heart field/splanchnic lateral plate,E8.5,E6.5_8.5_Chan,146_E6.5_8.5_Chan,11
147_E6.5_8.5_Chan,xecto,future spinal cord ,E8.5,E6.5_8.5_Chan,147_E6.5_8.5_Chan,2
148_E6.5_8.5_Chan,xmeso,amnion mesoderm early,E8.5,E6.5_8.5_Chan,148_E6.5_8.5_Chan,19
149_E6.5_8.5_Chan,xecto,preplacodal ectoderm ,E8.5,E6.5_8.5_Chan,149_E6.5_8.5_Chan,15
150_E6.5_8.5_Chan,xmeso,secondary heart field/splanchnic lateral plate,E8.5,E6.5_8.5_Chan,150_E6.5_8.5_Chan,19
151_E6.5_8.5_Chan,xmeso,allantois ,E8.5,E6.5_8.5_Chan,151_E6.5_8.5_Chan,19
152_E6.5_8.5_Chan,xecto,similar to neural crest ,E8.5,E6.5_8.5_Chan,152_E6.5_8.5_Chan,2
153_E6.5_8.5_Chan,xmeso,primitive heart tube ,E8.5,E6.5_8.5_Chan,153_E6.5_8.5_Chan,19
154_E6.5_8.5_Chan,xmeso,primitive blood late,E8.5,E6.5_8.5_Chan,154_E6.5_8.5_Chan,14
155_E6.5_8.5_Chan,xmeso,posterior lateral plate mesoderm ,E8.5,E6.5_8.5_Chan,155_E6.5_8.5_Chan,11
156_E6.5_8.5_Chan,xecto,fore/midbrain ,E8.5,E6.5_8.5_Chan,156_E6.5_8.5_Chan,11
157_E6.5_8.5_Chan,xecto,fore/midbrain ,E8.5,E6.5_8.5_Chan,157_E6.5_8.5_Chan,2
158_E6.5_8.5_Chan,xecto,similar to neural crest ,E8.5,E6.5_8.5_Chan,158_E6.5_8.5_Chan,11
159_E6.5_8.5_Chan,xmeso,amnion mesoderm late,E8.5,E6.5_8.5_Chan,159_E6.5_8.5_Chan,19
160_E6.5_8.5_Chan,xecto,preplacodal ectoderm ,E8.5,E6.5_8.5_Chan,160_E6.5_8.5_Chan,15
161_E6.5_8.5_Chan,xmeso,NMPs late ,E8.5,E6.5_8.5_Chan,161_E6.5_8.5_Chan,2
162_E6.5_8.5_Chan,xecto,future spinal cord ,E8.5,E6.5_8.5_Chan,162_E6.5_8.5_Chan,2
163_E6.5_8.5_Chan,xmeso,somites ,E8.5,E6.5_8.5_Chan,163_E6.5_8.5_Chan,11
164_E6.5_8.5_Chan,xmeso,haematopoeitic/endothelial progenitor,E8.5,E6.5_8.5_Chan,164_E6.5_8.5_Chan,12
165_E6.5_8.5_Chan,xecto,similar to neural crest ,E8.5,E6.5_8.5_Chan,165_E6.5_8.5_Chan,12
166_E6.5_8.5_Chan,xmeso,NMPs late ,E8.5,E6.5_8.5_Chan,166_E6.5_8.5_Chan,15
167_E6.5_8.5_Chan,xendo,parietal endoderm ,E8.5,E6.5_8.5_Chan,167_E6.5_8.5_Chan,4
168_E6.5_8.5_Chan,xmeso,primitive blood progenitor,E8.5,E6.5_8.5_Chan,168_E6.5_8.5_Chan,14
169_E6.5_8.5_Chan,xmeso,presomitic mesoderm ,E8.5,E6.5_8.5_Chan,169_E6.5_8.5_Chan,11
170_E6.5_8.5_Chan,xecto,surface ectoderm,E8.5,E6.5_8.5_Chan,170_E6.5_8.5_Chan,19
171_E6.5_8.5_Chan,xmeso,secondary heart field/splanchnic lateral plate,E8.5,E6.5_8.5_Chan,171_E6.5_8.5_Chan,11
172_E6.5_8.5_Chan,xecto,fore/midbrain ,E8.5,E6.5_8.5_Chan,172_E6.5_8.5_Chan,2
173_E6.5_8.5_Chan,xmeso,primitive blood late,E8.5,E6.5_8.5_Chan,173_E6.5_8.5_Chan,14
174_E6.5_8.5_Chan,xecto,neural crest ,E8.5,E6.5_8.5_Chan,174_E6.5_8.5_Chan,11
175_E6.5_8.5_Chan,xecto,preplacodal ectoderm ,E8.5,E6.5_8.5_Chan,175_E6.5_8.5_Chan,15
176_E6.5_8.5_Chan,xecto,similar to neural crest ,E8.5,E6.5_8.5_Chan,176_E6.5_8.5_Chan,11
177_E6.5_8.5_Chan,xmeso,somites ,E8.5,E6.5_8.5_Chan,177_E6.5_8.5_Chan,11
178_E6.5_8.5_Chan,xmeso,notochord ,E8.5,E6.5_8.5_Chan,178_E6.5_8.5_Chan,15
179_E6.5_8.5_Chan,xecto,differentiated trophoblasts,E8.5,E6.5_8.5_Chan,179_E6.5_8.5_Chan,17
180_E6.5_8.5_Chan,xmeso,haematopoeitic/endothelial progenitor,E8.5,E6.5_8.5_Chan,180_E6.5_8.5_Chan,12
181_E6.5_8.5_Chan,xendo,visceral endoderm late ,E8.5,E6.5_8.5_Chan,181_E6.5_8.5_Chan,16
182_E6.5_8.5_Marioni,epiblast,Epiblast,E6.5,E6.5_8.5_Marioni,182_E6.5_8.5_Marioni,6
183_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E6.5,E6.5_8.5_Marioni,183_E6.5_8.5_Marioni,17
184_E6.5_8.5_Marioni,endoderm,Parietal endoderm,E6.5,E6.5_8.5_Marioni,184_E6.5_8.5_Marioni,4
185_E6.5_8.5_Marioni,epiblast,Epiblast,E6.5,E6.5_8.5_Marioni,185_E6.5_8.5_Marioni,6
186_E6.5_8.5_Marioni,epiblast,Epiblast,E6.5,E6.5_8.5_Marioni,186_E6.5_8.5_Marioni,6
187_E6.5_8.5_Marioni,epiblast,Epiblast,E6.5,E6.5_8.5_Marioni,187_E6.5_8.5_Marioni,6
188_E6.5_8.5_Marioni,epiblast,Epiblast,E6.5,E6.5_8.5_Marioni,188_E6.5_8.5_Marioni,6
189_E6.5_8.5_Marioni,epiblast,Primitive Streak,E6.5,E6.5_8.5_Marioni,189_E6.5_8.5_Marioni,6
190_E6.5_8.5_Marioni,endoderm,ExE endoderm,E6.5,E6.5_8.5_Marioni,190_E6.5_8.5_Marioni,16
191_E6.5_8.5_Marioni,epiblast,Epiblast,E6.5,E6.5_8.5_Marioni,191_E6.5_8.5_Marioni,6
192_E6.5_8.5_Marioni,epiblast,Epiblast,E6.5,E6.5_8.5_Marioni,192_E6.5_8.5_Marioni,6
193_E6.5_8.5_Marioni,epiblast,Epiblast,E6.75,E6.5_8.5_Marioni,193_E6.5_8.5_Marioni,6
194_E6.5_8.5_Marioni,mesoderm,Nascent mesoderm,E6.75,E6.5_8.5_Marioni,194_E6.5_8.5_Marioni,10
195_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E6.75,E6.5_8.5_Marioni,195_E6.5_8.5_Marioni,17
196_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E6.75,E6.5_8.5_Marioni,196_E6.5_8.5_Marioni,17
197_E6.5_8.5_Marioni,epiblast,Epiblast,E6.75,E6.5_8.5_Marioni,197_E6.5_8.5_Marioni,6
198_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E6.75,E6.5_8.5_Marioni,198_E6.5_8.5_Marioni,17
199_E6.5_8.5_Marioni,epiblast,Epiblast,E6.75,E6.5_8.5_Marioni,199_E6.5_8.5_Marioni,6
200_E6.5_8.5_Marioni,endoderm,ExE endoderm,E6.75,E6.5_8.5_Marioni,200_E6.5_8.5_Marioni,16
201_E6.5_8.5_Marioni,epiblast,Primitive Streak,E6.75,E6.5_8.5_Marioni,201_E6.5_8.5_Marioni,6
202_E6.5_8.5_Marioni,endoderm,Visceral endoderm,E6.75,E6.5_8.5_Marioni,202_E6.5_8.5_Marioni,16
203_E6.5_8.5_Marioni,epiblast,Primitive Streak,E6.75,E6.5_8.5_Marioni,203_E6.5_8.5_Marioni,6
204_E6.5_8.5_Marioni,epiblast,Epiblast,E6.75,E6.5_8.5_Marioni,204_E6.5_8.5_Marioni,6
205_E6.5_8.5_Marioni,epiblast,Epiblast,E7.0,E6.5_8.5_Marioni,205_E6.5_8.5_Marioni,6
206_E6.5_8.5_Marioni,epiblast,Primitive Streak,E7.0,E6.5_8.5_Marioni,206_E6.5_8.5_Marioni,6
207_E6.5_8.5_Marioni,epiblast,Epiblast,E7.0,E6.5_8.5_Marioni,207_E6.5_8.5_Marioni,6
208_E6.5_8.5_Marioni,mesoderm,Haematoendothelial progenitors,E7.0,E6.5_8.5_Marioni,208_E6.5_8.5_Marioni,12
209_E6.5_8.5_Marioni,epiblast,Epiblast,E7.0,E6.5_8.5_Marioni,209_E6.5_8.5_Marioni,6
210_E6.5_8.5_Marioni,endoderm,Parietal endoderm,E7.0,E6.5_8.5_Marioni,210_E6.5_8.5_Marioni,4
211_E6.5_8.5_Marioni,mesoderm,Nascent mesoderm,E7.0,E6.5_8.5_Marioni,211_E6.5_8.5_Marioni,10
212_E6.5_8.5_Marioni,epiblast,Epiblast,E7.0,E6.5_8.5_Marioni,212_E6.5_8.5_Marioni,6
213_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E7.0,E6.5_8.5_Marioni,213_E6.5_8.5_Marioni,17
214_E6.5_8.5_Marioni,epiblast,Primitive Streak,E7.0,E6.5_8.5_Marioni,214_E6.5_8.5_Marioni,6
215_E6.5_8.5_Marioni,endoderm,ExE endoderm,E7.0,E6.5_8.5_Marioni,215_E6.5_8.5_Marioni,16
216_E6.5_8.5_Marioni,epiblast,Anterior Primitive Streak,E7.0,E6.5_8.5_Marioni,216_E6.5_8.5_Marioni,6
217_E6.5_8.5_Marioni,endoderm,Visceral endoderm,E7.0,E6.5_8.5_Marioni,217_E6.5_8.5_Marioni,16
218_E6.5_8.5_Marioni,ectoderm,ExE ectoderm,E7.0,E6.5_8.5_Marioni,218_E6.5_8.5_Marioni,17
219_E6.5_8.5_Marioni,epiblast,Epiblast,E7.25,E6.5_8.5_Marioni,219_E6.5_8.5_Marioni,6
220_E6.5_8.5_Marioni,epiblast,Epiblast,E7.25,E6.5_8.5_Marioni,220_E6.5_8.5_Marioni,6
221_E6.5_8.5_Marioni,epiblast,Anterior Primitive Streak,E7.25,E6.5_8.5_Marioni,221_E6.5_8.5_Marioni,10
222_E6.5_8.5_Marioni,endoderm,ExE endoderm,E7.25,E6.5_8.5_Marioni,222_E6.5_8.5_Marioni,16
223_E6.5_8.5_Marioni,mesoderm,Nascent mesoderm,E7.25,E6.5_8.5_Marioni,223_E6.5_8.5_Marioni,10
224_E6.5_8.5_Marioni,endoderm,ExE endoderm,E7.25,E6.5_8.5_Marioni,224_E6.5_8.5_Marioni,16
225_E6.5_8.5_Marioni,mesoderm,Haematoendothelial progenitors,E7.25,E6.5_8.5_Marioni,225_E6.5_8.5_Marioni,12
226_E6.5_8.5_Marioni,endoderm,Visceral endoderm,E7.25,E6.5_8.5_Marioni,226_E6.5_8.5_Marioni,16
227_E6.5_8.5_Marioni,epiblast,Primitive Streak,E7.25,E6.5_8.5_Marioni,227_E6.5_8.5_Marioni,10
228_E6.5_8.5_Marioni,epiblast,Primitive Streak,E7.25,E6.5_8.5_Marioni,228_E6.5_8.5_Marioni,10
