,Tissue,cell_ontology_class,age,dataset,cell_id,seurat_clusters
995_FACS 18m,marrow,hematopoietic stem cell,18m,FACS 18m,995_FACS 18m,9
996_FACS 18m,brain_non-myeloid,oligodendrocyte,18m,FACS 18m,996_FACS 18m,2
997_FACS 18m,lung,myeloid dendritic cell,18m,FACS 18m,997_FACS 18m,18
998_FACS 18m,large_intestine,large intestine goblet cell,18m,FACS 18m,998_FACS 18m,27
999_FACS 18m,marrow,promonocyte,18m,FACS 18m,999_FACS 18m,22
1000_FACS 18m,limb_muscle,mesenchymal stem cell,18m,FACS 18m,1000_FACS 18m,5
1001_FACS 18m,large_intestine,epithelial cell of large intestine,18m,FACS 18m,1001_FACS 18m,7
1002_FACS 18m,bladder,bladder urothelial cell,18m,FACS 18m,1002_FACS 18m,7
1003_FACS 18m,heart,monocyte,18m,FACS 18m,1003_FACS 18m,13
1004_FACS 18m,thymus,thymocyte,18m,FACS 18m,1004_FACS 18m,31
1005_FACS 18m,marrow,precursor B cell,18m,FACS 18m,1005_FACS 18m,8
1006_FACS 18m,large_intestine,epithelial cell of large intestine,18m,FACS 18m,1006_FACS 18m,27
1007_FACS 18m,scat,mesenchymal stem cell of adipose,18m,FACS 18m,1007_FACS 18m,5
1008_FACS 18m,marrow,granulocyte,18m,FACS 18m,1008_FACS 18m,21
1009_FACS 18m,mammary_gland,basal cell,18m,FACS 18m,1009_FACS 18m,7
1010_FACS 18m,pancreas,pancreatic B cell,18m,FACS 18m,1010_FACS 18m,28
1011_FACS 18m,marrow,granulocytopoietic cell,18m,FACS 18m,1011_FACS 18m,21
1012_FACS 18m,brain_non-myeloid,astrocyte,18m,FACS 18m,1012_FACS 18m,2
1013_FACS 18m,liver,hepatocyte,18m,FACS 18m,1013_FACS 18m,3
1014_FACS 18m,liver,endothelial cell of hepatic sinusoid,18m,FACS 18m,1014_FACS 18m,0
1015_FACS 18m,kidney,kidney collecting duct epithelial cell,18m,FACS 18m,1015_FACS 18m,26
1016_FACS 18m,thymus,DN4 thymocyte,18m,FACS 18m,1016_FACS 18m,1
1017_FACS 18m,bat,myeloid cell,18m,FACS 18m,1017_FACS 18m,21
1018_FACS 18m,brain_non-myeloid,brain pericyte,18m,FACS 18m,1018_FACS 18m,24
1019_FACS 18m,bladder,bladder cell,18m,FACS 18m,1019_FACS 18m,5
1020_FACS 18m,liver,Kupffer cell,18m,FACS 18m,1020_FACS 18m,13
1021_FACS 18m,heart,atrial myocyte,18m,FACS 18m,1021_FACS 18m,19
1022_FACS 18m,marrow,NK cell,18m,FACS 18m,1022_FACS 18m,30
1023_FACS 18m,thymus,thymocyte,18m,FACS 18m,1023_FACS 18m,4
1024_FACS 18m,tongue,keratinocyte,18m,FACS 18m,1024_FACS 18m,23
1025_FACS 18m,scat,mesenchymal stem cell of adipose,18m,FACS 18m,1025_FACS 18m,5
1026_FACS 18m,pancreas,pancreatic acinar cell,18m,FACS 18m,1026_FACS 18m,3
1027_FACS 18m,marrow,hematopoietic stem cell,18m,FACS 18m,1027_FACS 18m,9
1028_FACS 18m,lung,fibroblast of lung,18m,FACS 18m,1028_FACS 18m,5
1029_FACS 18m,marrow,macrophage,18m,FACS 18m,1029_FACS 18m,18
1030_FACS 18m,heart,endocardial cell,18m,FACS 18m,1030_FACS 18m,0
1031_FACS 18m,limb_muscle,macrophage,18m,FACS 18m,1031_FACS 18m,21
1032_FACS 18m,marrow,naive B cell,18m,FACS 18m,1032_FACS 18m,8
1033_FACS 18m,marrow,granulocyte monocyte progenitor cell,18m,FACS 18m,1033_FACS 18m,9
1034_FACS 18m,tongue,keratinocyte,18m,FACS 18m,1034_FACS 18m,23
1035_FACS 18m,brain_non-myeloid,neuroepithelial cell,18m,FACS 18m,1035_FACS 18m,3
1036_FACS 18m,thymus,thymocyte,18m,FACS 18m,1036_FACS 18m,31
1037_FACS 18m,mammary_gland,luminal epithelial cell of mammary gland,18m,FACS 18m,1037_FACS 18m,7
1038_FACS 18m,trachea,basal epithelial cell of tracheobronchial tree,18m,FACS 18m,1038_FACS 18m,15
1039_FACS 18m,lung,bronchial smooth muscle cell,18m,FACS 18m,1039_FACS 18m,0
1040_FACS 18m,kidney,kidney collecting duct principal cell,18m,FACS 18m,1040_FACS 18m,3
1041_FACS 18m,pancreas,pancreatic A cell,18m,FACS 18m,1041_FACS 18m,28
1042_FACS 18m,lung,respiratory basal cell,18m,FACS 18m,1042_FACS 18m,7
1043_FACS 18m,brain_non-myeloid,oligodendrocyte precursor cell,18m,FACS 18m,1043_FACS 18m,2
1044_FACS 18m,brain_non-myeloid,endothelial cell,18m,FACS 18m,1044_FACS 18m,3
1045_FACS 18m,kidney,epithelial cell of proximal tubule,18m,FACS 18m,1045_FACS 18m,26
1046_FACS 18m,pancreas,pancreatic ductal cell,18m,FACS 18m,1046_FACS 18m,7
1047_FACS 18m,heart,valve cell,18m,FACS 18m,1047_FACS 18m,24
1048_FACS 18m,mammary_gland,basal cell,18m,FACS 18m,1048_FACS 18m,7
1049_FACS 18m,liver,hepatocyte,18m,FACS 18m,1049_FACS 18m,3
1050_FACS 18m,marrow,mature alpha-beta T cell,18m,FACS 18m,1050_FACS 18m,8
1051_FACS 24m,gat,mesenchymal stem cell of adipose,24m,FACS 24m,1051_FACS 24m,5
1052_FACS 24m,heart,endothelial cell of coronary artery,24m,FACS 24m,1052_FACS 24m,0
1053_FACS 24m,brain_myeloid,microglial cell,24m,FACS 24m,1053_FACS 24m,13
1054_FACS 24m,spleen,B cell,24m,FACS 24m,1054_FACS 24m,8
1055_FACS 24m,limb_muscle,skeletal muscle satellite cell,24m,FACS 24m,1055_FACS 24m,3
1056_FACS 24m,marrow,hematopoietic stem cell,24m,FACS 24m,1056_FACS 24m,9
1057_FACS 24m,brain_myeloid,microglial cell,24m,FACS 24m,1057_FACS 24m,13
1058_FACS 24m,thymus,DN4 thymocyte,24m,FACS 24m,1058_FACS 24m,1
1059_FACS 24m,marrow,naive B cell,24m,FACS 24m,1059_FACS 24m,8
1060_FACS 24m,tongue,basal cell of epidermis,24m,FACS 24m,1060_FACS 24m,23
1061_FACS 24m,brain_myeloid,microglial cell,24m,FACS 24m,1061_FACS 24m,13
1062_FACS 24m,heart,fibroblast of cardiac tissue,24m,FACS 24m,1062_FACS 24m,5
1063_FACS 24m,marrow,promonocyte,24m,FACS 24m,1063_FACS 24m,22
1064_FACS 24m,brain_myeloid,microglial cell,24m,FACS 24m,1064_FACS 24m,13
1065_FACS 24m,lung,bronchial smooth muscle cell,24m,FACS 24m,1065_FACS 24m,0
1066_FACS 24m,marrow,naive B cell,24m,FACS 24m,1066_FACS 24m,8
1067_FACS 24m,brain_myeloid,microglial cell,24m,FACS 24m,1067_FACS 24m,13
1068_FACS 24m,trachea,T cell,24m,FACS 24m,1068_FACS 24m,1
1069_FACS 24m,marrow,granulocyte,24m,FACS 24m,1069_FACS 24m,21
1070_FACS 24m,limb_muscle,mesenchymal stem cell,24m,FACS 24m,1070_FACS 24m,5
1071_FACS 24m,skin,bulge keratinocyte,24m,FACS 24m,1071_FACS 24m,7
1072_FACS 24m,marrow,precursor B cell,24m,FACS 24m,1072_FACS 24m,8
1073_FACS 24m,thymus,DN4 thymocyte,24m,FACS 24m,1073_FACS 24m,1
1074_FACS 24m,large_intestine,intestinal crypt stem cell,24m,FACS 24m,1074_FACS 24m,27
1075_FACS 24m,lung,myeloid dendritic cell,24m,FACS 24m,1075_FACS 24m,18
1076_FACS 24m,tongue,keratinocyte,24m,FACS 24m,1076_FACS 24m,23
1077_FACS 24m,bladder,bladder urothelial cell,24m,FACS 24m,1077_FACS 24m,7
1078_FACS 24m,marrow,granulocyte,24m,FACS 24m,1078_FACS 24m,21
1079_FACS 24m,large_intestine,large intestine goblet cell,24m,FACS 24m,1079_FACS 24m,27
1080_FACS 24m,marrow,naive B cell,24m,FACS 24m,1080_FACS 24m,8
1081_FACS 24m,trachea,basal epithelial cell of tracheobronchial tree,24m,FACS 24m,1081_FACS 24m,4
1082_FACS 24m,pancreas,pancreatic B cell,24m,FACS 24m,1082_FACS 24m,28
1083_FACS 24m,large_intestine,enterocyte of epithelium of large intestine,24m,FACS 24m,1083_FACS 24m,27
1084_FACS 24m,heart,monocyte,24m,FACS 24m,1084_FACS 24m,20
1085_FACS 24m,heart,monocyte,24m,FACS 24m,1085_FACS 24m,13
1086_FACS 24m,skin,basal cell of epidermis,24m,FACS 24m,1086_FACS 24m,23
1087_FACS 24m,brain_non-myeloid,neuron,24m,FACS 24m,1087_FACS 24m,2
1088_FACS 24m,large_intestine,epithelial cell of large intestine,24m,FACS 24m,1088_FACS 24m,7
1089_FACS 24m,liver,hepatocyte,24m,FACS 24m,1089_FACS 24m,3
1090_FACS 24m,limb_muscle,endothelial cell,24m,FACS 24m,1090_FACS 24m,0
1091_FACS 24m,marrow,granulocyte,24m,FACS 24m,1091_FACS 24m,21
1092_FACS 24m,kidney,epithelial cell of proximal tubule,24m,FACS 24m,1092_FACS 24m,26
1093_FACS 24m,marrow,macrophage,24m,FACS 24m,1093_FACS 24m,18
1094_FACS 24m,thymus,thymocyte,24m,FACS 24m,1094_FACS 24m,31
1095_FACS 24m,heart,monocyte,24m,FACS 24m,1095_FACS 24m,13
1096_FACS 24m,marrow,hematopoietic stem cell,24m,FACS 24m,1096_FACS 24m,9
1097_FACS 24m,scat,mesenchymal stem cell of adipose,24m,FACS 24m,1097_FACS 24m,5
1098_FACS 24m,pancreas,pancreatic A cell,24m,FACS 24m,1098_FACS 24m,28
1099_FACS 24m,lung,fibroblast of lung,24m,FACS 24m,1099_FACS 24m,5
