,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50,PC_51,PC_52,PC_53,PC_54,PC_55,PC_56,PC_57,PC_58,PC_59,PC_60,PC_61,PC_62,PC_63,PC_64,PC_65,PC_66,PC_67,PC_68,PC_69,PC_70,PC_71,PC_72,PC_73,PC_74,PC_75,PC_76,PC_77,PC_78,PC_79,PC_80,PC_81,PC_82,PC_83,PC_84,PC_85,PC_86,PC_87,PC_88,PC_89,PC_90,PC_91,PC_92,PC_93,PC_94,PC_95,PC_96,PC_97,PC_98,PC_99,PC_100
1_E6.5_8.5_Chan,-2.65541171208214,-0.300049272065503,-1.03494479035562,-0.94480374815412,-1.73997356971156,-0.860409868079582,0.217443905097003,0.898096175945097,-1.03075951671676,-0.83611440112781,0.363408593113402,-0.642584156537461,-0.304072711072055,0.92333638990467,-0.778701946244221,-3.04519567732417,1.67985820786851,1.88213510843823,1.61812848665198,-1.68219079877658,2.42181251724275,-4.68501696665475,0.467071785249245,1.08044126388718,-2.97796125115845,-0.696126328805972,-3.60070558453112,5.13101941413527,-4.3691880527675,1.80937660435235,4.80688596429815,-1.9975885559142,0.695028767188439,-3.74310045643427,-3.16030143961949,-0.591574684041132,5.64325509563525,3.43581292076568,4.46824345875391,1.52062474321868,1.21203379647028,1.7581625936516,-1.02154855832257,-3.58962083876329,0.346510218645492,0.366367694138032,-2.37388974947613,1.01765305724795,-1.23602382241505,-2.28520867865148,0.0547788994238241,-4.90312401549034,1.50554639377669,2.87278248844601,-1.00880557933898,-1.11920302823159,-0.000606014969596627,3.57458193939213,-2.09048211232153,-2.0346569701188,2.25568241156963,-0.0645378259727049,-1.11616326945853,0.382556826109562,0.0981118032640449,0.633786072981503,1.90183593394377,0.846667569692931,-3.14513050599599,-0.905278942769245,-2.26228224938925,-0.729283550437598,-0.978467151040839,2.1504344048038,0.479534514239737,-0.805394152725057,1.18622641288219,0.661110029609676,0.267924080924645,1.51889108854711,-1.22839207074982,0.558463010274246,-0.586463143463215,-0.27119495427007,0.740536611248319,-0.0477539413527042,0.924444442921312,0.627890326042145,-0.740972265326386,-0.524727989358837,-0.37282973744006,0.25117991414565,-1.37094624998965,-0.986580170377914,0.189871987298195,-0.243377510953937,-0.132185868041971,0.480014189263665,-0.759771550686439,1.03333977747218
2_E6.5_8.5_Chan,-4.518602555985,-0.330940817640364,-1.35796436633796,0.0711097990100156,-3.36460993361652,-0.286650592715252,-1.36617748434881,0.422332313368015,-2.25835914691677,-0.556681472981332,-0.396389882683749,1.24971307201446,-0.284195729611126,1.45150394919577,-1.59086430934223,-2.2684295462756,2.64604096764403,3.47155980482918,0.887120120791374,-1.00141096541092,3.67127237661462,-6.46169984324987,0.352855603172557,2.26971989122741,-3.68095426362581,-0.580165450441398,-4.75335937839527,5.32387310854721,-4.31797639571107,2.25493542793624,5.50924113074015,-1.32484050878317,1.31522642425853,-3.46324281706368,-1.36209626927951,-0.936424410663898,3.93254766821245,2.17931343651443,2.56729107802446,1.85731571503948,0.68449110955911,1.73817040174589,-0.856564185373027,-3.81995222199165,0.348635381546866,-0.34853489309952,-2.32403386227231,1.38916117273967,-1.18514887762406,-1.32905973161129,0.344512854952006,-4.68009667869246,1.16763279038588,1.22168966051841,-1.35865598965445,-0.432665932449809,-0.206588546780537,3.28090720157935,-2.31242934180298,-0.857730164129819,2.14069493759599,0.264538069501885,-1.11144198802511,0.814693244793099,0.411507393825932,0.0825208169945188,1.51949189014268,-0.0523825587213848,-2.99201718454145,0.112985455092249,-2.53816244125048,-0.890415698787559,0.0760311148113866,1.45181071279795,0.399643132145344,-0.482779368401883,2.06595132910736,0.743647389890684,0.656009761166666,1.35667036697635,-0.432932388337306,-0.380153557821475,-0.697386084440549,-0.16525970796382,0.619950653905906,1.4523575939614,0.793614545029011,0.467076057723787,-1.85638146707429,-0.185634843424614,-0.977533409639845,0.169631575222349,0.119051323376877,-0.252178728922658,0.925005359319684,-1.55525122798467,-0.98740677405876,0.5553599823346,0.151035204133786,-0.00124326028839347
3_E6.5_8.5_Chan,-2.56962055629666,-0.560730152911385,-1.0022135094234,-0.71337859086259,-2.25381622610245,-0.301924246358024,0.4953657420626,0.954630847610388,-1.03383487922369,-1.0042713244453,0.440113688661103,-0.503226141518722,0.371498640305097,1.03702463391583,-0.767425743212306,-3.12022162332114,1.76968843451994,1.49113002251657,1.36347108069888,-1.36678679103098,1.9399893732481,-5.19863375039773,0.615972153009709,1.37670434189446,-2.82653476946094,-0.570698429482853,-3.99346683408591,5.25100088570096,-5.010502654853,2.15763435881946,5.80335884307161,-2.27340705424117,0.679749775744905,-3.81360556145781,-2.93868677273545,-0.798795914244063,5.82970878709866,3.68605173136028,4.52836792767958,1.27018489089026,1.43211736106659,1.41793092567462,-1.10619128596598,-3.14388326068287,0.340215236399426,0.365740998821642,-2.86272655973845,1.06359719003819,-1.2534294082567,-3.13059481943531,0.246553749321176,-5.5960389187961,2.16576767015079,2.88046623865716,-1.27062407192518,-0.947647258030096,0.492276258859065,2.9414499087427,-2.15026114592123,-1.60895331064873,1.96622870596268,0.164811302504055,-0.397769832401239,-0.305692318121851,-0.136582624698252,1.03918328604119,2.15741810665502,1.37823334684321,-2.89955012780861,-0.60463101086963,-2.06263924199783,-0.220151442707082,-0.513322317842113,2.21199042278841,0.805691261052859,-0.150300420041932,2.9752896104138,1.48242320897445,0.691851399497287,-0.693763044297337,0.423299513282754,-0.423785989447829,-2.03634316885143,-1.40580853074322,0.369676358876424,0.407664391157951,1.33268615436211,0.226700714808313,-1.6037804174602,-0.289141738289199,-1.50449052792187,-0.40248857532485,-0.17368970104535,0.722842161649302,0.669415853780171,1.30351940172795,-0.169334075615608,-0.298430041772771,-0.137048770154256,-0.252680235439006
4_E6.5_8.5_Chan,-2.69762964045966,-1.28046600235107,-1.29391961745228,-1.21243211881662,-1.63714184484794,-0.473147956656477,0.56005581908254,1.07141299641169,-0.916808396216594,-0.85049268637237,0.287826472251389,-0.816988033938636,-0.262554146245211,1.26414956341076,-0.435478311802633,-2.97719051982633,1.88665609527939,1.64724708213573,0.741516786734753,-1.33270959797366,2.43366038197669,-5.67363301004414,0.387234026831926,1.70180136146085,-3.50118447322651,-0.541756873100807,-4.15635383047859,5.71175980024919,-5.26078171430428,2.73035275967449,5.54199983445485,-2.2084337231603,0.674891321581149,-4.30744896178536,-3.21746678955652,-0.978057387053411,5.72110446998965,3.60804458959507,4.15590323745934,1.83197249258448,2.02664741953653,1.88570197274996,-1.25568339102723,-3.81705464358998,0.3382519923659,0.577679117392469,-2.99681224127652,0.767674655122508,-0.749049217460009,-3.39813173314502,0.885614188316176,-5.71982942566517,1.91777277953187,3.06787916130939,-1.72166943464207,-1.07675802834959,0.35667657840473,3.30401110565744,-1.58221699782404,-2.13932571356466,2.03876344242069,-0.13895672434849,-0.606631703686486,-0.552599750777005,0.342815636635031,0.573042292990883,1.42108008121543,1.3354278927159,-2.50027267418097,-0.540867634365456,-2.11918261548917,-0.403800309434956,-0.169014502080986,1.2176214304226,0.565487270379855,0.171925319091935,3.09153463137138,1.37315131907762,-0.254013211341681,-1.05247792590061,0.847015121512317,-0.429087867454624,-2.22558914977599,-2.07100038686105,-0.0694299932474784,0.522272539523188,0.463228488088943,-0.0743055295810234,-1.35335141092949,-0.1800663214666,-1.28433181212186,-0.607033472546483,0.473643841545638,0.573649886952307,0.00431216852261112,1.21175052157281,-0.519495862578655,0.130172625701211,0.0171673438919394,-0.303247471765246
5_E6.5_8.5_Chan,-1.51829301629049,-3.22263006078411,-1.18052944571038,-2.96096722615785,0.870199802377505,3.88457812027598,-2.00171622936434,0.392147100873241,-0.928433607471837,0.180479949992852,-1.72362084290818,2.57474994646795,4.01383432230457,-1.74814343940697,2.61767183872432,4.93357352883681,-1.73200326484808,2.48899304129031,-7.49788161625455,2.18201268822139,-1.95470490300017,-9.18301508079992,0.707872926624384,5.60201307587805,-3.16684485955217,-2.47148745893914,-2.62288784742388,4.63716320401224,-1.95727327444676,-1.6496976585249,9.77663172341217,-5.69669128889759,6.96033265298532,0.144679924841402,6.95412363417135,2.92825869126166,-4.17733927696758,-3.29894050360512,-6.68612783336923,1.48440650997497,7.02561031947336,1.86218802833273,-2.56937623795259,0.836863419883781,3.06722010231071,3.30014174950249,-3.25646534855306,0.737681817375033,7.83550201312571,-6.67702375497669,3.93957518097684,-3.23256984699084,1.50215743387374,0.691129312054084,-1.69580440231413,-1.06154600665877,5.11412451936698,-3.21661328237429,2.4408907000958,4.00324341838054,-3.63236602895308,0.016168913741584,2.22611075113344,-1.24128667891832,0.266101877197922,0.650243534852961,-0.949988613177924,1.28026903636436,-1.83848565829187,-1.51024752610985,1.02959927400862,0.957951725448074,-0.72334766416763,2.55485182153938,0.285450372510174,-0.89202118865638,1.02503789709388,0.916672891187209,-0.463634073620401,0.294105965251583,0.901975534612288,-2.38918497058077,-0.0519395221837469,0.501798296473531,0.874187291859532,-1.42375350337387,-0.14303498465553,-0.971568663802172,-1.4937756032476,-1.44442847799913,-0.127967952986388,-0.0253263017576372,0.239522695273497,0.436802930306159,0.111757310162038,-0.523804966275182,1.55171398613644,-1.29746133285324,1.79007010774242,-0.135453646540939
6_E6.5_8.5_Chan,-2.80720643064344,-1.19781331702576,-1.24564000889032,-1.66004558305495,-1.47906338717899,-1.12845149299766,0.965922071169214,1.31619987872363,-1.11557259052166,-0.935508763028914,0.295995528837985,-0.850810821589209,0.072767177103487,0.956541069325583,-0.577451361581342,-2.96010226440163,1.80711361847535,1.45619464193441,1.21237376274394,-1.36095187826359,1.44161317943359,-4.9566208999947,0.151982173512364,1.33639184061662,-3.04199855699863,-0.733478721747748,-3.89426246983011,5.62245766273813,-5.1042775522127,2.50480820894877,5.80752802461795,-2.44812172710063,0.780313175271365,-4.24111817605703,-3.13146107869184,-1.06652383060069,5.92770226422979,3.74066997213137,4.50145581675804,1.59723907619701,1.9752926566303,1.87728313441088,-1.24533413160386,-3.33350819302781,0.949949917652078,0.424045864468139,-2.9451491054883,1.06862338185855,-0.816371893581618,-3.5323994577319,0.565886367195498,-6.32298028333586,1.88437106684433,3.27229534750329,-1.47719625587168,-0.76615509493681,0.0410753839737168,3.58864505025878,-2.72869143843834,-1.60945490572791,1.91523767397939,-0.343502532144743,-0.425235689006185,-0.530272569617081,0.221621598723686,1.10753167596612,1.66281150664809,0.988730058475604,-2.85595001864575,-0.340940798212539,-2.02792213969375,-0.556955065088813,-0.40440220754438,1.99388547972177,0.602299651697387,0.726422152841848,3.04824811497032,1.30545192823039,0.160324426028211,-1.27840718504573,0.569250187360391,0.0351933183033541,-2.00875500111718,-2.57136785115498,-0.453782526735875,0.86954188247358,1.2480449119183,0.158439793887017,-1.63964645620608,0.204631159290125,-0.839363462807193,-0.23890522581256,1.17052737438534,1.20718130993863,0.291440656820078,1.22288041016027,0.0303266441340065,-0.189329741250404,-0.438722348090033,-1.18524984141599
7_E6.5_8.5_Chan,-2.24825103582179,-3.76727680740373,-0.853466865396455,-2.9627602022816,1.07754266195762,3.68040923216835,-1.99923147156695,0.539912261098471,-1.06845197943932,-0.0692229554080621,-1.87639226431696,2.2186935188597,4.28217354381843,-1.61733735963666,3.14095120519698,5.15806970472321,-2.36259774091235,2.44413038051233,-7.84846433960678,3.03467829671583,-2.72948899383382,-8.55726473231809,0.133133379884214,5.3919898399872,-2.91851800993713,-2.67015662872604,-2.56260389654828,5.16868526611295,-1.55966730953804,-1.46534041360657,9.48181658801345,-5.0156310762013,7.24266060745986,-0.0617543181589214,7.17529751863862,3.62506059133644,-4.92910785035586,-3.40797243753005,-7.80684890134059,1.24369714929813,7.39817800285264,1.61405610620428,-2.87374351183453,0.705176014503461,2.97642927624339,3.52660616355598,-2.7134097276241,-0.214561971582017,8.24193432264949,-7.17493320934112,4.54174823798752,-3.23742190550086,1.56792390790896,0.333429874659478,-2.0573656643484,-1.26367842174854,5.11471194017521,-3.5196177844641,2.76997106454967,3.92316155483545,-3.89765995423657,-0.112805889652944,2.13335870055387,-1.52616533595956,0.333805114936056,0.405773165466865,-1.18735260485112,0.903497238350939,-0.524359442980646,-0.816773154109861,0.552040885299198,0.643418440526802,0.0555849944943954,1.73400201198781,0.288368658254469,-0.389406387222917,1.19473003647875,0.0650077169084236,-0.802913417632005,0.455193219868444,0.389717463290629,-1.69851099019981,0.114932644805001,0.197665844810055,0.827379038467608,-1.1819456665719,0.0941232504872634,-0.449970068555575,-0.7207205196845,-0.80338974255871,0.168430183176208,0.475468078508221,-0.192514330835038,0.0284331803184974,0.194011613988301,-0.421151388189237,0.768822828266758,-1.14044349714084,1.17423401423325,-0.0783653558586666
8_E6.5_8.5_Chan,-1.68247443546183,-3.05220449109466,-0.922614502390367,-2.03188116631994,0.213602055161119,4.00757572971589,-2.02476952302854,0.341487642893959,-1.09958177614971,-0.0225601895599753,-1.60786718292438,2.54810470299095,4.1534127300022,-1.55720037816405,2.47076384678562,4.83518311078232,-1.7296222970821,2.53513337602995,-7.41240744382212,2.47907794861009,-1.93384682684693,-9.03829051691627,0.614338605693274,5.40089933255279,-2.99262854736268,-2.42669260831824,-2.94835251367029,4.65182676620542,-1.98386553188682,-1.70852262364334,9.48245007058643,-5.23540262424571,6.88896867503389,0.0531309588024941,6.79580076000356,2.94177346825561,-4.25980520664814,-2.96958060731658,-6.84611265827705,1.34593100746729,6.64396090732429,1.5175999643478,-2.61715103406853,0.886239940804313,2.57978551317803,3.18317117930418,-3.14480728999392,0.256894424441617,7.41968641299267,-6.75712378272897,3.73187388483879,-2.98644892001469,1.72555606431892,0.223217356612384,-1.88366678962736,-1.31231345823418,5.14049467175962,-3.51510353333779,2.4467590371211,3.70476618861665,-3.41324586163434,0.159358245006947,2.26717705485055,-1.25063460587442,-0.0924006516399512,0.509038710349054,-0.797376555015251,1.25358249129584,-1.35122818694331,-1.16405837020065,0.785875593204673,0.874133322321256,-0.377513706015313,2.41921371376412,0.336213845272965,-0.985637402018375,1.25802114164648,0.955169318800405,-0.434923240894708,0.404843348817251,0.853422190163541,-2.41131205882005,0.0105406842480619,0.59334659892321,1.24232651615668,-1.36564361421606,-0.0041560092812205,-0.672224776775692,-1.21481112742679,-1.37565477777185,-0.738579961201999,0.0272663967466422,-0.468848881438111,0.338187778252472,0.416734197944888,-0.223938688802631,1.10867062775644,-1.3598125451324,1.43149145885135,0.109558711225969
9_E6.5_8.5_Chan,1.89686595854303,-6.28004793252717,0.691319884152545,8.56034680672221,7.28512237856451,5.43652079260925,-4.39672651776803,4.57903053960275,2.5765482194775,5.34228812083396,-2.20285933279535,3.42958376294045,8.27504699677018,-5.26185361532547,7.11540438077064,16.0823661827989,-12.8730405700487,-2.95720490667604,-14.2639224686705,5.23687268459538,-19.2522471368612,-3.24601546366724,-1.61931489299072,5.10370798838859,-1.18909355048529,-0.0463759355749074,5.21220293218729,-0.224800238473354,-2.79285269118665,1.85783561142873,-2.88671191833073,-0.670472607412588,-3.84539651699299,-5.60735428377361,-7.99736083358728,-3.05668870663481,3.66689055575553,2.97638255085917,6.0283133125521,-2.02458639976738,-1.47634795881357,-0.0372051452751395,-0.368466540416988,-1.31644896780764,-1.48616193207702,1.47954713090252,-0.601454053253212,0.434670203229957,-1.60152282021431,-0.131796024949962,0.263931603176257,0.996325239755574,0.255668336154726,1.05434018571506,0.863028201507035,-1.39520855314486,-1.61467348823013,1.28424796332752,-0.593198789719388,-1.51211407962643,0.190979169523247,0.073411953568703,-0.829492039627204,-1.70386626627718,-1.35263759353925,0.983732664920019,0.0105556739305992,-0.323515894351979,-1.67114188030506,-1.08902197411135,-0.262687379051052,0.0318798377838618,-0.490847428523005,3.08608617377716,2.34336197943682,-0.259000795337488,0.800306307493164,1.14685699839574,0.471051844148091,1.19078203870382,1.62109373994247,-0.74327233403035,-1.23857514263325,0.610335529025716,-1.13601004835059,-0.5839567249306,0.670758008015416,-0.377716805582705,-0.562985344029257,-2.30829607147747,0.634190939921217,-0.400541276143299,-2.85336086950006,-0.967518757152772,0.916489464853011,-1.8937213535125,1.88929833162401,-1.2906720727283,2.3786902172328,2.46765428460903
10_E6.5_8.5_Chan,2.27911623027825,-4.11389095826835,0.236328740878097,4.29461677097881,4.10780400988837,4.68465454003669,-1.8124136947876,2.63191455305752,2.87413220513517,3.35747107488866,-1.12356744108536,3.49378521983255,6.40428749372286,-3.71936100680999,6.49393740845416,10.3387935365869,-9.08296552940557,-3.11963924882133,-8.14115970204365,4.26035760428024,-15.0214814126824,-0.580015385932096,-0.35686056183557,3.74586780277254,-0.511010025774755,-0.343425350326879,4.12062500042059,0.278241854892465,-1.98039858635583,1.23310812912288,-1.91027993769616,-0.590485710380143,-4.58354245300245,-4.2121585462955,-6.58751849925702,-2.46849109158702,4.43600240991561,3.73125378693994,4.92618788061483,-1.8092174262375,-0.231462243902406,1.315381513356,-0.731966107915083,-1.13988496975492,-1.12783462867457,3.09798578218491,-1.01537074955528,-1.02091422430924,-1.05225251845144,-2.32515513863653,-0.284966644578318,-2.13819070906662,0.471870279067504,2.75452271617433,0.0354533220695422,0.283965918621572,0.51768564323832,2.38497789972114,0.657080089458962,-1.86209905219581,0.331976324691478,0.751980726927285,-1.57054776856322,-0.180383353639053,-0.920443813794289,2.87899562613533,1.75376690773246,0.684884212399991,-1.30552598194313,-3.09666841127574,2.55918351296617,1.10394160534633,-1.79802957376842,0.77181716873761,0.479806294155833,0.0442033438475329,0.244032992168435,-1.446959294321,3.01552290102642,1.46992675874797,1.60949027683658,1.28005298995148,-2.85164281614483,0.749100449220562,-4.3142028646954,-1.29303843604266,0.505027481497217,-1.09037338586022,0.571554923784369,-2.85381028505405,3.45328286594051,-0.442694527695737,-5.59708531298042,-3.55414759441982,-0.335478842584544,-4.16063360533249,5.45180149979907,-3.1873221984063,5.05649620874878,5.29466721489129
